,Unnamed: 0,Name,Min Price,Max Price,Zip Code
181,181,Lumina Hollywood,2850,3546.0,90028
182,182,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
183,183,Park Fifth,2658,4365.0,90013
184,184,TENTEN Downtown,2400,3874.0,90017
185,185,Josephine DTLA,2433,3520.0,90017
186,186,Nari Koreatown,2160,3520.0,90010
187,187,The Chadwick,1672,3468.0,90004
188,188,Palazzo East Apartments,3110,4182.0,90036
189,189,Madrid,2180,2326.0,90045
190,190,THEA at Metropolis,2738,4355.0,90017
191,191,AVA Toluca Hills,2435,2710.0,90068
192,192,Vision on Wilshire,4503,5073.0,90048
193,193,The Q Playa,2681,4811.0,90045
194,194,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
195,195,ZEN Hollywood,3750,3995.0,90028
196,196,&Pico,3516,4863.0,90064
197,197,One Museum Square,4040,5750.0,90036
198,198,The Gemma,2585,2750.0,90010
199,199,Ferrante,2139,4902.0,90012
200,200,sageLA - Brand New,2395,4670.0,90004
201,201,Arya,4050,4200.0,90034
202,202,The Amara,3145,3330.0,90025
203,203,888 at Grand Hope Park,2435,4350.0,90017
205,205,TENTEN WILSHIRE,2750,4095.0,90017
206,206,VOX,3190,4670.0,90016
207,207,The BORA 3170,2250,3152.0,90006
208,208,Beaudry,2925,7994.0,90017
209,209,Hallasan,3523,4358.0,90005
211,211,951 S. Oxford,1598,1698.0,90006
212,212,Park Wilshire,1885,2370.0,90057
213,213,Violet on Virgil,2175,2518.0,90004
214,214,Broadway Palace,2057,4044.0,90015
215,215,Linea,3000,4010.0,90064
216,216,The Landmark Los Angeles,5080,7990.0,90025
217,217,Circa LA,2510,4236.0,90015
218,218,Arrive Wakaba,2474,3324.0,90012
220,220,Archer,2455,2594.0,90028
221,221,Lumina Hollywood,2850,3546.0,90028
222,222,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
223,223,Park Fifth,2658,4365.0,90013
224,224,TENTEN Downtown,2400,3874.0,90017
225,225,Josephine DTLA,2433,3520.0,90017
226,226,Nari Koreatown,2160,3520.0,90010
227,227,The Chadwick,1672,3468.0,90004
228,228,Palazzo East Apartments,3110,4182.0,90036
229,229,Madrid,2180,2326.0,90045
230,230,THEA at Metropolis,2738,4355.0,90017
231,231,AVA Toluca Hills,2435,2710.0,90068
232,232,Vision on Wilshire,4503,5073.0,90048
233,233,The Q Playa,2681,4811.0,90045
